Date,ts
2017-10-15,138
2017-10-16,88
2017-10-17,105
2017-10-18,89
2017-10-19,96
2017-10-20,89
2017-10-21,138
2017-10-22,144
2017-10-23,93
2017-10-24,104
2017-10-25,130
2017-10-26,155
2017-10-27,159
2017-10-28,210
2017-10-29,183
2017-10-30,110
2017-10-31,117
2017-11-01,106
2017-11-02,111
2017-11-03,114
2017-11-04,184
2017-11-05,218
2017-11-06,147
2017-11-07,158
2017-11-08,199
2017-11-09,192
2017-11-10,195
2017-11-11,199
2017-11-12,183
2017-11-13,109
2017-11-14,114
2017-11-15,126
2017-11-16,136
2017-11-17,142
2017-11-18,177
2017-11-19,197
2017-11-20,149
2017-11-21,173
2017-11-22,216
2017-11-23,217
2017-11-24,250
2017-11-25,427
2017-11-26,453
2017-11-27,310
2017-11-28,349
2017-11-29,335
2017-11-30,285
2017-12-01,301
2017-12-02,366
2017-12-03,335
2017-12-04,228
2017-12-05,236
2017-12-06,231
2017-12-07,227
2017-12-08,240
2017-12-09,332
2017-12-10,289
2017-12-11,217
2017-12-12,211
2017-12-13,210
2017-12-14,202
2017-12-15,199
2017-12-16,287
